Organizer,Source,Event Title,Event Location,Date,Start Time
UJA,"=HYPERLINK(""https://www.ujafedny.org/event/view/wall-street-dinner"", ""Event Page"")",The Wall Street Dinner,Manhattan,,PM
UJA,"=HYPERLINK(""https://www.ujafedny.org/event/view/closing-bell"", ""Event Page"")",UJA Closing Bell Afterparty,Manhattan,,PM
UJA,"=HYPERLINK(""https://www.ujafedny.org/event/view/champions-for-charity"", ""Event Page"")",Champions for Charity,Long Island,,AM
UJA,"=HYPERLINK(""https://www.ujafedny.org/event/view/disruptions-in-sports-media"", ""Event Page"")",Disruption in Sports Media,Manhattan,,PM
UJA,"=HYPERLINK(""https://www.ujafedny.org/event/view/ujapride-pre-hanukkah-celebration"", ""Event Page"")",UJAPride’s Latkes & Vodka,Manhattan,,PM
UJA,"=HYPERLINK(""https://www.ujafedny.org/event/view/real-estate-shabbat-dinner"", ""Event Page"")",Real Estate Shabbat Dinner,Manhattan,,PM
UJA,"=HYPERLINK(""https://www.ujafedny.org/event/view/wc-annual-goh"", ""Event Page"")","Gift of Hanukkah: Bright Lights, Warm Wishes",Westchester,,PM
UJA,"=HYPERLINK(""https://www.ujafedny.org/event/view/lunch-and-learn-12-10-24"", ""Event Page"")",Lunch & Learn With Alyza D. Lewin,Manhattan,,PM
UJA,"=HYPERLINK(""https://www.ujafedny.org/event/view/wrapped-with-love"", ""Event Page"")",Wrapped With Love,Manhattan,,PM
UJA,"=HYPERLINK(""https://www.ujafedny.org/event/view/young-healthcare-challah-braiding"", ""Event Page"")",Young Healthcare Challah Braiding,Manhattan,,PM
UJA,"=HYPERLINK(""https://www.ujafedny.org/event/view/heritage-society-mimi-zieman"", ""Event Page"")",UJA Heritage Society Presents: Tap Dancing on Everest With Author Mimi Zieman,Manhattan,,PM
UJA,"=HYPERLINK(""https://www.ujafedny.org/event/view/when-women-ran-fifth-avenue"", ""Event Page"")",When Women Ran Fifth Avenue,Westchester,,PM
UJA,"=HYPERLINK(""https://www.ujafedny.org/event/view/young-entertainment-tech-and-lifestyle-shabbat-dinner"", ""Event Page"")","UJA’s Young Entertainment, Tech & Lifestyle Community Shabbat Dinner",Manhattan,,PM
UJA,"=HYPERLINK(""https://www.ujafedny.org/event/view/rising-leaders-hanukkah"", ""Event Page"")",Rising Leaders: Spread Light & Love,Long Island,,PM
UJA,"=HYPERLINK(""https://www.ujafedny.org/event/view/young-leaders-hanukkah-party"", ""Event Page"")",Young Leaders Hanukkah Party,Manhattan,,PM
UJA,"=HYPERLINK(""https://www.ujafedny.org/event/view/wordsmatter-12-19-24"", ""Event Page"")",Under Siege: The New Face of Antisemitism on Campus,Manhattan,,PM
UJA,"=HYPERLINK(""https://www.ujafedny.org/event/view/all-about-herzl"", ""Event Page"")",All About Herzl: Study Session and Museum Visit,Manhattan,,PM
UJA,"=HYPERLINK(""https://www.ujafedny.org/event/view/all-about-herzl"", ""Event Page"")",All About Herzl: Study Session and Museum Visit,Manhattan,,AM
UJA,"=HYPERLINK(""https://www.ujafedny.org/event/view/fsu-happy-hour-1-15-25"", ""Event Page"")",UJA FSU Happy Hour,Manhattan,,PM
UJA,"=HYPERLINK(""https://www.ujafedny.org/event/view/lawyers-division-annual-event"", ""Event Page"")",Lawyers Division Annual Event,Manhattan,,PM
UJA,"=HYPERLINK(""https://www.ujafedny.org/event/view/young-lawyers-after-dark"", ""Event Page"")",Young Lawyers After Dark,Manhattan,,PM
